nums,mark1,mark2,ratio
"[6.002518772734831, 3.757962864958838, 20.438166699621235, 26.431176165485223, 26.66033524472078, 16.709840252479093]",4,1,0.14095707463779852
"[8.037217673709248, 21.455015731744727, 3.0369491370828796, 32.182561952628596, 20.482171758676238, 14.806083746158315]",1,2,0.14154961129156507
"[12.397369998165539, 29.936476832581842, 25.634803162282402, 7.128241336485031, 3.6363132886110727, 5.913036760624155, 15.353758621249966]",2,4,0.1418506420974333
"[24.326699769667563, 28.34535271941853, 12.98467548357374, 30.021181765760925, 4.322090261579248]",4,3,0.1439680254862112
"[3.5102394698639223, 23.292947312466563, 14.463253936970869, 24.37755521114693, 3.229529765774938, 13.70769899625197, 17.418775307524808]",3,0,0.1439947295559328
"[12.232816971630529, 20.25292650673925, 15.014908437088309, 20.382662976958464, 3.1523230482534674, 21.834972827870928, 7.129389231459061]",5,4,0.14437036735075445
"[32.75424043848706, 13.989924057615157, 29.062971521570876, 19.99397484592122, 4.198889136405706]",2,4,0.14447556173976364
"[6.466266562353171, 38.667809617890654, 5.5876339288502175, 29.917375832323046, 12.493434572394879, 6.86747948618804]",1,2,0.14450350263090556
"[27.194759249575974, 33.441833849940146, 6.459019111809958, 28.06951719962862, 4.834870589045314]",1,4,0.1445755221062426
"[28.59120124653654, 10.430969308911545, 7.885910957408985, 12.357351505295293, 4.134322974710776, 12.589561095836421, 24.010682911300442]",4,0,0.1446012337523453
"[3.812286544280371, 26.32984399199901, 8.517800818964252, 14.104129511471536, 29.09810521199072, 18.137833921294103]",1,0,0.14478956067642598
"[4.344501944978988, 29.956792678401445, 28.281577997127858, 33.65102236001108, 3.7661050194806065]",1,0,0.14502560376269288
"[36.4367915489057, 4.203601400158816, 20.205237425089063, 4.9640951440023855, 34.190274481844035]",4,3,0.14519026884789868
"[3.833611704753406, 23.59809346859294, 24.596337441386076, 26.348132522639453, 21.623824862628137]",3,0,0.14549842200237156
"[13.938557673885235, 4.863187782514894, 3.9728570184500036, 24.713028093037902, 33.36174966338641, 19.15061976872555]",4,1,0.14577136485896322
"[24.53523141409088, 14.375259679845877, 16.880070877986377, 3.6264217742925364, 17.468610626031197, 23.114405627753147]",0,3,0.14780466966412384
"[27.29461474704363, 4.09836999795407, 25.414172115159182, 15.719343243639054, 27.473499896204068]",1,4,0.14917538768041455
"[6.550907768233225, 3.293254839099469, 15.53435305807616, 23.79655544761196, 22.004923615429632, 21.461398295726895, 3.4399790242550012, 3.918627951567658]",4,1,0.1496599077849228
"[27.183816919408976, 4.240184667525353, 28.303778653123924, 16.82028972358896, 23.451930036352778]",2,1,0.14980984410211812
"[23.401250440672055, 26.561395485528568, 27.612511074345726, 18.283253952749963, 4.141589046703678]",4,2,0.14998958390827236
"[3.352418945233921, 20.572827838671547, 22.312194736775446, 12.33854794412582, 26.72598623589315, 14.698024299300112]",0,2,0.15025052375095987
"[5.520296336720972, 30.256849157384544, 11.104877822312682, 16.39731332321433, 36.72066336036747]",4,0,0.1503321517518939
"[11.52564451384623, 11.027440672157638, 21.745983697200458, 6.569300569851843, 3.3356878123043, 4.46096253996084, 22.187810730614977, 12.020505061464032, 7.126664402599674]",6,4,0.1503387536879284
"[3.7628746901789554, 25.11096908932169, 32.70435246117373, 25.009899149655602, 13.411904609670026]",0,3,0.15045541238141186
"[22.026913556074362, 33.5754744511776, 11.104833614485576, 5.063209928226418, 28.229568450036044]",1,3,0.1508008452892863
"[5.1123673078705965, 20.44257468265529, 10.541388383789384, 19.82526490810863, 10.209210972228462, 33.86919374534763]",0,5,0.1509444643503758
"[21.354410206502266, 24.659146039122017, 12.111319415504312, 14.010346775437574, 7.7938599119377105, 3.73197852041339, 16.33893913108273]",1,5,0.15134256938551577
"[9.288480629090147, 7.055381295997118, 3.039031815813623, 7.257841147325085, 7.461104436436266, 16.997937505659877, 6.1661240648834, 20.057770940875482, 18.247882566808112, 4.428445597110901]",7,2,0.1515139356597406
"[3.0728977833314324, 21.23264082396471, 16.87576868133414, 20.25570535063444, 9.456018761885906, 21.393763312098883, 7.713205286750493]",0,3,0.15170529636654614
"[23.081961477271523, 19.225387198440917, 32.36534574598119, 4.915787945095644, 20.411517633210753]",3,2,0.15188430192209637
"[3.5712917296838294, 20.24186113983371, 23.42374834758283, 26.374037891922807, 20.08452060566618, 6.304540285310641]",2,0,0.15246457043039238
"[21.607023159965667, 24.11285979376444, 24.27922622125868, 3.6888530295099144, 5.674091456000095, 20.637946339501198]",3,1,0.15298280921717333
"[9.709365689674945, 34.99794822457418, 16.10590030324649, 5.206962063963168, 33.9798237185412]",3,4,0.15323687689180013
"[4.7296495315558005, 32.03590911608123, 3.337812339800706, 6.403688044908869, 30.8603311611396, 22.63260980651381]",4,0,0.15325984374113066
"[24.285389702420126, 23.298926991862018, 30.63195125514434, 3.5811190983747943, 18.20261295219871]",3,1,0.15370317695856242
"[9.54679572501822, 22.15246422645732, 3.536096043468533, 3.1720204029055177, 25.819379814129114, 11.46717692011397, 20.332614527583022, 3.9734523403243016]",7,4,0.1538941821580824
"[29.807495854892995, 14.829557953138876, 10.632487248396401, 19.931541354725294, 4.602976932713146, 20.195940656133295]",0,4,0.15442346969101575
"[8.824901234576005, 31.312173003049672, 4.851624715148765, 26.172333821284898, 12.160065123310783, 8.050150351505803, 8.628751751124085]",2,1,0.15494372475127285
"[30.297384652165242, 23.047096069594836, 4.7052832677708825, 13.48101425609371, 28.469221754375322]",2,0,0.15530328184398626
"[23.657104803917658, 9.7486429578812, 16.434974175645227, 3.224102861356386, 20.70362861252061, 26.231546588678924]",4,3,0.15572646330250514
"[4.215464865686207, 21.059792976557063, 28.068577047031447, 30.600001440575863, 3.2846900451223315, 12.771473625027106]",1,4,0.15596972148675536
"[4.601348564751508, 26.106347910638725, 8.631041628448363, 31.24606066392367, 29.415201232237713]",0,4,0.15642757390721643
"[6.841210879079967, 27.211020386423463, 16.096182900962255, 11.201599994792389, 5.229827451652853, 33.42015838708906]",4,5,0.15648721322856596
"[21.378664818119876, 20.029800222483008, 20.897409184044676, 7.521910640468292, 10.73276591760979, 16.08082107952897, 3.358628137745394]",6,0,0.15710186610431948
"[3.075112723281744, 15.782072033270117, 19.463743917777563, 24.53899888882108, 13.917755367186988, 23.222317069662523]",2,0,0.1579918404327666
"[22.88321042463543, 29.671897615156773, 5.830948808273121, 36.81060206320824, 4.803341088726424]",2,3,0.1584040597396554
"[3.4785723474949353, 17.460643977559066, 23.72789390322637, 19.181090347786494, 21.94515494697863, 14.206644476954494]",4,0,0.15851208870019207
"[20.540833920620237, 19.43057751428167, 12.406522251852303, 12.773378113845942, 3.26114501768655, 9.37137164550257, 4.8365807437093, 10.60925089923453, 6.770339893266907]",0,4,0.15876400297520532
"[3.373399092124551, 14.831956468858623, 6.829545907775504, 9.877655774339626, 3.4998319739032357, 18.187828455415733, 21.98917405772411, 10.50428155430731, 10.9063267155513]",6,4,0.1591615930964835
"[4.4655743261088645, 30.011751002077325, 28.48755291520028, 28.007704899977334, 9.027416856636185]",0,3,0.15944092320511696
"[18.658387821850603, 27.94490712089009, 3.3521409748732354, 20.96587644123033, 5.632761130240502, 23.445926510915243]",3,2,0.15988556377643728
"[26.134311455568604, 18.736710616881357, 28.48846224367619, 4.5557910908606125, 11.535191775932612, 10.54953281708063]",3,2,0.15991705876900736
"[23.01483148566329, 26.336359926867583, 8.896566303417835, 26.53813357553738, 4.03647315459662, 7.492174832302257, 3.6854607216150286]",6,0,0.16013416061337776
"[7.178733983325986, 3.6635433988267123, 27.63956627596074, 22.842572516065395, 35.32243824070005, 3.353145585121135]",1,3,0.16038225975861992
"[22.63081617388736, 18.11575555507746, 4.366078350743547, 10.882992623784952, 27.166291012477416, 16.83806628402926]",4,2,0.16071676287124426
"[27.498392112090112, 4.419817143439929, 13.587122833942423, 19.8151983051116, 30.528793661978604, 4.15067594343734]",1,0,0.16073002106536569
"[7.524462377250929, 9.115109387104535, 6.546989432891003, 34.14088157081035, 5.161126946866453, 5.434973415259616, 32.07645686981712]",4,6,0.16090078052613416
"[3.809927967829884, 23.66893128909192, 24.061210699469992, 4.306265852423802, 19.242294491344207, 20.888371355283148, 4.022998344557048]",0,1,0.16096746918124394
"[23.647897800395295, 3.810886124557521, 27.75335577815951, 7.420462660527602, 37.367397636360074]",0,1,0.16115115841264413
"[10.45814708318984, 28.91609069812728, 17.89833865757475, 20.142854720464644, 6.171485369512962, 13.165144117075851, 3.24793935405465]",3,6,0.16124523555019357
"[22.48527092209014, 18.22792663035169, 35.8450407023203, 6.530367940308257, 11.124857070341495, 5.786536734588109]",5,2,0.16143200345741382
"[20.531337706900768, 18.984491769324684, 19.230772996951405, 21.05870936296134, 10.777043887451462, 3.333161240732466, 6.084483035677857]",0,5,0.1623450594557295
"[27.31914573241686, 23.16938772935992, 17.920915993510306, 22.63623785806805, 5.191516007927115, 3.7627966787177476]",1,5,0.1624038029261164
"[33.27986509304485, 5.413637029383664, 35.35315593042222, 3.7350248450210164, 22.21831710212826]",1,0,0.16267004130720045
"[13.501823087036101, 3.7844421586681234, 11.696545198937484, 15.26955939572861, 19.399268110443778, 13.091478389417622, 23.25688365976826]",1,6,0.16272352796839992
"[22.50416267971322, 17.557206644952785, 23.433372561531097, 24.90146023826542, 3.827845195030429, 7.775952680507059]",2,4,0.16335016161157828
"[4.7106275351779185, 18.64493828166087, 19.751067414347478, 3.812152694984925, 24.24969671216218, 28.83151736166662]",5,0,0.1633846556213862
"[29.711090635511518, 28.61588027600597, 15.84373471523741, 4.683650502530418, 21.145643870714668]",3,1,0.16367312336212128
"[22.040185003157227, 3.863288469376521, 26.25316609630678, 23.59248721086267, 24.250873220296803]",3,1,0.16375079214190483
"[37.570932690883446, 27.053183609215843, 24.698666585225315, 6.234269527274858, 4.44294758740054]",1,4,0.16423011988456032
"[37.15257435550103, 30.994530325113242, 22.262906159977057, 5.091345721799982, 4.498643437608709]",3,1,0.16426594203541559
"[24.600415623475524, 4.79448082913685, 4.608762395572138, 14.175927288316855, 29.133693511591254, 22.68672035190737]",1,4,0.16456824560295788
"[3.9036756443632465, 13.012480767671688, 14.76551516015333, 23.693480590972435, 4.828577728369587, 7.265844523176758, 7.757017623576079, 18.552057481475345, 6.221350480241538]",3,0,0.16475737405379792
"[20.237630045459404, 25.423512996660797, 18.186975473426244, 4.071648552645352, 7.4417973295383275, 24.638435602269873]",5,3,0.16525596910342158
"[15.008353187129249, 19.839626088684145, 3.281464649677648, 6.6544345984650475, 23.691975988539134, 12.040221855087337, 19.48392363241743]",2,1,0.16539952088861617
"[38.10811487405498, 3.563326847197655, 25.88707617194351, 21.08238826758233, 6.316116055287368, 5.042977783934133]",4,0,0.16574202308777933
"[5.879262577657946, 36.96267438124108, 8.2857735728527, 4.027633812191451, 9.399263587543526, 35.44539206851329]",5,0,0.165868177344287
"[35.17308118498673, 9.368420583497315, 5.8469477843151445, 17.34251407567412, 32.269036371526695]",0,2,0.16623359647009983
"[15.13598150271738, 26.16168802085746, 6.544150225980678, 19.64269735401866, 27.879531274253083, 4.635951622172743]",5,4,0.16628513501782122
"[17.37672171219726, 6.183633535735371, 27.321782280451796, 25.81867709306106, 18.74402572585231, 4.55515965270222]",2,5,0.1667226393192273
"[23.257939992224653, 3.8860957665375144, 36.06751417157826, 27.751590162242174, 9.03685990741739]",1,0,0.16708684293779555
"[13.501768312303286, 28.134669768591056, 29.27631203028623, 4.707388790431643, 24.37986109838778]",3,1,0.1673162979750653
"[3.4365324901943484, 3.68716879424252, 21.147570787570007, 9.250681992279311, 25.682766512917695, 14.804493320547126, 21.990786102248997]",6,1,0.16766880352064512
"[28.5662058745885, 33.62312325433107, 5.637917702459441, 5.959624636100974, 26.21312853252]",1,2,0.1676797738215235
"[3.2208631564029626, 8.866629210451274, 9.565341559746622, 12.041359360740355, 8.222019476899604, 21.788888890154997, 17.089649281211422, 19.20524906439276]",7,0,0.16770744006515187
"[3.4177126420272086, 20.3312402386542, 7.4236472144872065, 22.60107086422142, 16.34795125657861, 11.952623869494905, 5.557844463196465, 12.367909451339978]",1,0,0.16810153251395743
"[7.000981823034446, 22.17013362261836, 20.040068214823375, 21.408984592001477, 3.602378030377426, 6.195831018889279, 19.58162269825564]",4,3,0.16826477757022143
"[20.236537196686996, 12.566839756516648, 28.26666674743755, 9.23822246566409, 4.758162230072022, 24.93357160362269]",2,4,0.1683312104885293
"[3.529687371169973, 18.669229564939197, 19.108286104719827, 20.349345267160643, 10.465584648136128, 3.4267236380806634, 16.026984217055578, 8.42415918873798]",5,3,0.16839478583178988
"[25.107872621235835, 22.37257233379041, 27.972250075449125, 14.554006078031616, 3.7740549147687736, 6.219243976724233]",1,4,0.16869114818185796
"[22.556177041393653, 13.788027734336316, 31.1175631524457, 11.70155759539705, 5.2594130086639925, 15.57726146776329]",2,4,0.16901750895139186
"[5.667269745012668, 20.773416129811505, 14.245022047772796, 20.233157829530974, 3.517413733470771, 15.599679175826122, 8.669365323642376, 11.294676014932774]",1,4,0.1693228360463546
"[5.381332433038544, 15.442074171134026, 18.284436979953064, 20.69745049291584, 19.047767564490307, 3.5068323183259524, 17.640106040142246]",5,3,0.16943305744474388
"[33.6418939959524, 19.388176978055156, 3.2530328728451394, 11.70108056037364, 19.1808115887371, 12.83500400403658]",2,4,0.16959829138592383
"[4.164183445368866, 8.161987606406065, 26.967208683249893, 18.313501881560565, 10.48055394190816, 24.539436934336795, 7.373127507169642]",5,0,0.1696935205364119
"[7.484295747284607, 4.466820120960405, 26.24235912233705, 25.871794604510665, 18.192456255634855, 17.742274149272422]",2,1,0.17021412214263631
"[28.54908893944693, 25.061277942235296, 26.897933111994142, 4.579742320017449, 14.91195768630617]",3,2,0.17026372624799493
"[15.474261835845306, 25.033108568431757, 25.676663955714353, 4.920346696773377, 28.89561894323521]",4,3,0.1702800243330758
"[30.325200512575822, 31.352162717415197, 15.165568653165895, 4.548452800480619, 5.343258347008463, 13.265356969353979]",4,1,0.1704271056248519
"[17.746352329835872, 24.757624427211088, 25.831276889268825, 6.387663647861037, 4.402464584974325, 16.141081103519394, 4.733537017329452]",2,4,0.17043155101648327
"[12.496039563847269, 23.56864926075486, 16.43950896048038, 10.82937255698029, 4.017894568108856, 4.600921672659978, 4.155955533206196, 23.89165788396218]",1,4,0.1704762340707925
"[31.415990209746937, 5.357973825252185, 8.241434835258058, 6.4984913399308715, 29.280489277905094, 19.205620511906858]",1,0,0.17054925817967223
"[24.34588747805418, 9.414416898502928, 4.94953462759797, 26.51995009761507, 29.000194000443642, 5.770016897786213]",4,2,0.17067246610564923
"[5.010812280703793, 24.043518841668458, 29.295964988360595, 23.134994162407718, 18.514709726859437]",0,2,0.17104103867869208
"[5.184051641567767, 20.77436631069545, 30.157948392536962, 30.877758133375906, 6.925298961506791, 6.080576560317117]",0,2,0.17189669449963774
"[15.548321704895642, 5.025271523104432, 30.55811803929278, 29.223893685356533, 19.64439504735062]",3,1,0.17195763087594615
"[4.9216951063877294, 16.14072270445497, 3.966422066694316, 21.67720710433571, 5.124862524902557, 7.015375995444635, 3.5576740203794386, 16.957765596736778, 20.638274880663857]",6,8,0.172382335294538
"[4.9142942953501665, 5.204490504394172, 9.806596378690713, 10.129228464080068, 28.493769846395494, 6.346388867004892, 35.10523164408448]",4,0,0.17246908084968027
"[13.333366994977506, 7.421961028972414, 3.019317575883896, 14.540639431463882, 13.059696611935626, 9.04873821349563, 17.475376225734095, 22.100903917536947]",2,6,0.17277554067406423
"[21.969769000589274, 22.278639999408426, 7.60497398453163, 5.11713496749616, 13.416934049816488, 29.61254799815801]",5,3,0.17280292691511925
"[5.421608849410338, 35.24171917014364, 14.08144452445913, 38.58123495562703, 6.673992500359875]",4,3,0.17298545544319027
"[12.085249366132391, 13.031629878344312, 19.383496890038245, 16.910266451324492, 20.59325153064501, 14.420753933228406, 3.5753519502871556]",4,6,0.17361765066418194
"[21.067885807283073, 3.626486386132702, 16.011590956161907, 38.43470452849788, 20.85933232192443]",4,1,0.17385438470247888
"[14.514472678867623, 6.262938861422795, 23.275205214481023, 19.990074932825355, 35.9573083124032]",4,1,0.17417707707733068
"[25.15495866866538, 26.27403562757919, 19.68225252280858, 24.50542694207857, 4.383326238868275]",0,4,0.1742529692298173
"[5.389484904437134, 5.6602181827834634, 32.469760166755734, 18.61688128683342, 37.863655459190255]",2,1,0.17432275919853255
"[4.124506820725459, 27.158684614353543, 23.78497580054599, 6.675640975446933, 38.256191788928085]",3,4,0.17449831421482373
"[9.661106433481224, 11.853218034630558, 36.58273382116497, 35.50348920203967, 6.399452508683574]",2,4,0.17493095349208607
"[26.436274679764104, 4.627357270443131, 30.12001384337511, 17.61126509362181, 21.205089112795857]",0,1,0.17503817487511528
"[12.875254957270652, 17.194593721112717, 24.64275095574376, 23.41978141422987, 18.85663233066928, 3.0109866209737204]",5,1,0.17511240275928253
"[3.7068782745345765, 35.959429070140324, 21.051276670735266, 8.329973195270176, 30.95244278931965]",2,0,0.17608805073982742
"[4.9278815390214685, 23.422088841277006, 12.435200401004618, 4.217185483500544, 27.889818534389647, 6.0238151610628945, 21.084010039743823]",0,4,0.17669105781183644
"[18.530274667740354, 18.36589725792056, 8.12259440698348, 7.310938955035756, 18.188867292507435, 10.625183042113589, 9.559939385651951, 3.2788719274328044, 6.017433064614075]",0,7,0.17694675261025913
"[11.844544547656932, 24.37372703110191, 3.3604806741488824, 18.00238231997711, 18.932376416586713, 13.331801728265377, 10.154687282263072]",2,4,0.17749914750293866
"[19.4825881497633, 5.866670983174358, 33.04550924751959, 25.233093167373696, 16.37213845216905]",1,2,0.17753307837477836
"[23.237952469324615, 32.86583466662742, 5.836102365569162, 18.181165025408962, 19.878945473069823]",1,2,0.1775735326598977
"[30.168452623203777, 12.680888019946387, 3.7420548347943816, 21.001644815307777, 8.623991652733977, 23.782968054013704]",2,3,0.17817913157291637
"[3.4356072077193875, 21.076119970956064, 15.147404819224292, 22.981772397594973, 3.7615963283513842, 7.318709174110722, 26.2787901020432]",4,1,0.1784766993894061
"[5.579529893536714, 12.825625733699075, 24.481135897751606, 31.181600840066377, 25.93210763494625]",0,3,0.17893660823107493
